,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
0,1980-12-12,0.513392865657806,0.515625,0.513392865657806,0.513392865657806,0.406781554222107,117258400,,,,,,,,
1,1980-12-15,0.48883929848671,0.48883929848671,0.486607134342194,0.486607134342194,0.385558158159256,43971200,,,0.513392865657806,-0.0267857313156128,-0.0521739453494206,117258400,-73287200,-0.625005969721572
2,1980-12-16,0.453125,0.453125,0.450892865657806,0.450892865657806,0.357260286808014,26432000,,,0.486607134342194,-0.0357142686843872,-0.0733944616999226,43971200,-17539200,-0.398879266428935
3,1980-12-17,0.462053567171097,0.46428570151329,0.462053567171097,0.462053567171097,0.36610335111618,21610400,,,0.450892865657806,0.0111607015132904,0.0247524464531239,26432000,-4821600,-0.182415254237288
4,1980-12-18,0.475446432828903,0.477678567171097,0.475446432828903,0.475446432828903,0.376715153455734,18362400,,,0.462053567171097,0.0133928656578064,0.0289855259419458,21610400,-3248000,-0.150298004664421
5,1980-12-19,0.504464268684387,0.506696403026581,0.504464268684387,0.504464268684387,0.399707078933716,12157600,,,0.475446432828903,0.029017835855484,0.0610328185297933,18362400,-6204800,-0.337907898749619
6,1980-12-22,0.529017865657806,0.53125,0.529017865657806,0.529017865657806,0.419161885976791,9340800,,,0.504464268684387,0.0245535969734192,0.0486726186523647,12157600,-2816800,-0.231690465223399
7,1980-12-23,0.551339268684387,0.553571403026581,0.551339268684387,0.551339268684387,0.43684795498848,11737600,,,0.529017865657806,0.0223214030265808,0.0421940438605515,9340800,2396800,0.256594724220623
8,1980-12-24,0.580357134342194,0.582589268684387,0.580357134342194,0.580357134342194,0.459839880466461,12000800,,,0.551339268684387,0.0290178656578064,0.0526315960171841,11737600,263200,0.0224236641221374
9,1980-12-26,0.633928596973419,0.636160731315613,0.633928596973419,0.633928596973419,0.502286791801453,13893600,,,0.580357134342194,0.0535714626312256,0.0923077523496738,12000800,1892800,0.157722818478768
10,1980-12-29,0.642857134342194,0.645089268684387,0.642857134342194,0.642857134342194,0.509361207485199,23290400,,,0.633928596973419,0.00892853736877441,0.0140844527465744,13893600,9396800,0.676340185409109
11,1980-12-30,0.629464268684387,0.629464268684387,0.627232134342194,0.627232134342194,0.496980935335159,17220000,,,0.642857134342194,-0.015625,-0.0243055558774943,23290400,-6070400,-0.260639576821351
12,1980-12-31,0.611607134342194,0.611607134342194,0.609375,0.609375,0.482832014560699,8937600,,,0.627232134342194,-0.0178571343421936,-0.0284697377007337,17220000,-8282400,-0.480975609756098
13,1981-01-02,0.616071403026581,0.620535731315613,0.616071403026581,0.616071403026581,0.488137662410736,5415200,,,0.609375,0.00669640302658081,0.0109889690692608,8937600,-3522400,-0.394110275689223
14,1981-01-05,0.604910731315613,0.604910731315613,0.602678596973419,0.602678596973419,0.477526217699051,8932000,,,0.616071403026581,-0.0133928060531616,-0.0217390484079712,5415200,3516800,0.649431230610134
15,1981-01-06,0.578125,0.578125,0.575892865657806,0.575892865657806,0.45630270242691,11289600,,,0.602678596973419,-0.0267857313156128,-0.044444470817659,8932000,2357600,0.263949843260188
16,1981-01-07,0.553571403026581,0.553571403026581,0.551339268684387,0.551339268684387,0.43684795498848,13921600,,,0.575892865657806,-0.0245535969734192,-0.0426357026412771,11289600,2632000,0.233134920634921
17,1981-01-08,0.542410731315613,0.542410731315613,0.540178596973419,0.540178596973419,0.428004831075668,9956800,,,0.551339268684387,-0.011160671710968,-0.0202428383844303,13921600,-3964800,-0.284794851166533
18,1981-01-09,0.569196403026581,0.571428596973419,0.569196403026581,0.569196403026581,0.450996845960617,5376000,,,0.540178596973419,0.0290178060531616,0.053718911144844,9956800,-4580800,-0.460067491563555
19,1981-01-12,0.569196403026581,0.569196403026581,0.564732134342194,0.564732134342194,0.447459757328033,5924800,,,0.569196403026581,-0.00446426868438721,-0.00784310768769692,5376000,548800,0.102083333333333
20,1981-01-13,0.546875,0.546875,0.544642865657806,0.544642865657806,0.431542068719864,5762400,,,0.564732134342194,-0.0200892686843872,-0.0355730929103006,5924800,-162400,-0.0274102079395085
21,1981-01-14,0.546875,0.549107134342194,0.546875,0.546875,0.433310657739639,3572800,,,0.544642865657806,0.0022321343421936,0.00409834495765904,5762400,-2189600,-0.379980563654033
